,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,"[0, '0.208', '0.725', '0.000']","[1, '0.244', '0.691', '-0.046']","[2, '0.246', '0.631', '-0.067']","[3, '0.194', '0.586', '-0.083']","[4, '0.160', '0.555', '-0.098']","[5, '0.242', '0.527', '-0.049']","[6, '0.254', '0.424', '-0.074']","[7, '0.260', '0.357', '-0.089']","[8, '0.263', '0.302', '-0.100']","[9, '0.198', '0.527', '-0.043']","[10, '0.190', '0.415', '-0.071']","[11, '0.175', '0.342', '-0.089']","[12, '0.163', '0.284', '-0.101']","[13, '0.163', '0.548', '-0.040']","[14, '0.128', '0.527', '-0.073']","[15, '0.137', '0.586', '-0.078']","[16, '0.155', '0.628', '-0.074']","[17, '0.133', '0.584', '-0.044']","[18, '0.104', '0.570', '-0.072']","[19, '0.114', '0.614', '-0.078']","[20, '0.133', '0.646', '-0.076']"
11,"[0, '0.401', '0.962', '0.000']","[1, '0.352', '0.863', '0.051']","[2, '0.356', '0.778', '0.069']","[3, '0.393', '0.718', '0.078']","[4, '0.430', '0.693', '0.091']","[5, '0.350', '0.698', '0.042']","[6, '0.353', '0.571', '0.054']","[7, '0.355', '0.493', '0.065']","[8, '0.355', '0.434', '0.072']","[9, '0.395', '0.690', '0.016']","[10, '0.432', '0.558', '0.029']","[11, '0.458', '0.480', '0.042']","[12, '0.476', '0.419', '0.049']","[13, '0.443', '0.705', '-0.006']","[14, '0.492', '0.676', '0.018']","[15, '0.489', '0.717', '0.039']","[16, '0.476', '0.742', '0.051']","[17, '0.492', '0.735', '-0.028']","[18, '0.523', '0.713', '-0.007']","[19, '0.517', '0.745', '0.006']","[20, '0.505', '0.768', '0.016']"
12,"[0, '0.532', '0.668', '0.000']","[1, '0.532', '0.555', '0.057']","[2, '0.566', '0.489', '0.067']","[3, '0.621', '0.464', '0.068']","[4, '0.661', '0.458', '0.075']","[5, '0.571', '0.424', '0.008']","[6, '0.618', '0.308', '0.006']","[7, '0.645', '0.234', '0.006']","[8, '0.667', '0.179', '0.002']","[9, '0.611', '0.444', '-0.022']","[10, '0.699', '0.370', '-0.026']","[11, '0.762', '0.320', '-0.025']","[12, '0.812', '0.281', '-0.029']","[13, '0.645', '0.486', '-0.043']","[14, '0.710', '0.516', '-0.019']","[15, '0.684', '0.554', '0.008']","[16, '0.660', '0.570', '0.019']","[17, '0.676', '0.540', '-0.062']","[18, '0.724', '0.558', '-0.037']","[19, '0.701', '0.589', '-0.017']","[20, '0.677', '0.600', '-0.007']"
13,"[0, '0.271', '0.780', '0.000']","[1, '0.207', '0.710', '0.043']","[2, '0.191', '0.636', '0.059']","[3, '0.216', '0.575', '0.068']","[4, '0.250', '0.546', '0.081']","[5, '0.179', '0.564', '0.031']","[6, '0.154', '0.458', '0.041']","[7, '0.136', '0.392', '0.052']","[8, '0.119', '0.344', '0.058']","[9, '0.223', '0.536', '0.010']","[10, '0.239', '0.420', '0.020']","[11, '0.248', '0.346', '0.032']","[12, '0.250', '0.289', '0.038']","[13, '0.273', '0.532', '-0.008']","[14, '0.323', '0.511', '0.014']","[15, '0.329', '0.553', '0.033']","[16, '0.319', '0.582', '0.043']","[17, '0.329', '0.547', '-0.025']","[18, '0.372', '0.535', '-0.007']","[19, '0.371', '0.569', '0.004']","[20, '0.361', '0.597', '0.013']"
14,"[0, '0.392', '0.817', '0.000']","[1, '0.321', '0.743', '0.037']","[2, '0.298', '0.651', '0.028']","[3, '0.322', '0.567', '0.012']","[4, '0.353', '0.515', '0.000']","[5, '0.254', '0.621', '-0.035']","[6, '0.201', '0.482', '-0.066']","[7, '0.163', '0.397', '-0.085']","[8, '0.133', '0.333', '-0.099']","[9, '0.302', '0.600', '-0.064']","[10, '0.287', '0.429', '-0.090']","[11, '0.279', '0.317', '-0.095']","[12, '0.272', '0.231', '-0.101']","[13, '0.355', '0.590', '-0.086']","[14, '0.401', '0.484', '-0.076']","[15, '0.412', '0.524', '-0.038']","[16, '0.411', '0.564', '-0.018']","[17, '0.414', '0.583', '-0.109']","[18, '0.432', '0.500', '-0.093']","[19, '0.442', '0.536', '-0.065']","[20, '0.442', '0.573', '-0.046']"
15,"[0, '0.359', '0.793', '0.000']","[1, '0.314', '0.679', '0.062']","[2, '0.324', '0.592', '0.086']","[3, '0.371', '0.536', '0.101']","[4, '0.416', '0.520', '0.121']","[5, '0.328', '0.504', '0.045']","[6, '0.352', '0.366', '0.065']","[7, '0.367', '0.281', '0.081']","[8, '0.376', '0.219', '0.090']","[9, '0.381', '0.503', '0.017']","[10, '0.451', '0.377', '0.036']","[11, '0.497', '0.297', '0.051']","[12, '0.529', '0.236', '0.057']","[13, '0.433', '0.529', '-0.003']","[14, '0.492', '0.521', '0.032']","[15, '0.481', '0.565', '0.058']","[16, '0.463', '0.588', '0.069']","[17, '0.485', '0.575', '-0.021']","[18, '0.527', '0.565', '0.009']","[19, '0.519', '0.597', '0.026']","[20, '0.504', '0.620', '0.036']"
16,"[0, '0.510', '0.799', '0.000']","[1, '0.496', '0.706', '0.064']","[2, '0.510', '0.642', '0.067']","[3, '0.547', '0.595', '0.056']","[4, '0.575', '0.560', '0.046']","[5, '0.473', '0.602', '-0.002']","[6, '0.471', '0.509', '-0.025']","[7, '0.466', '0.448', '-0.042']","[8, '0.461', '0.400', '-0.052']","[9, '0.496', '0.623', '-0.041']","[10, '0.524', '0.513', '-0.069']","[11, '0.547', '0.449', '-0.073']","[12, '0.560', '0.402', '-0.076']","[13, '0.522', '0.648', '-0.071']","[14, '0.585', '0.569', '-0.069']","[15, '0.618', '0.573', '-0.033']","[16, '0.631', '0.588', '-0.012']","[17, '0.552', '0.669', '-0.099']","[18, '0.594', '0.601', '-0.085']","[19, '0.621', '0.602', '-0.054']","[20, '0.634', '0.610', '-0.033']"
17,"[0, '0.392', '0.835', '0.000']","[1, '0.355', '0.774', '0.018']","[2, '0.337', '0.695', '0.009']","[3, '0.353', '0.624', '-0.007']","[4, '0.376', '0.578', '-0.021']","[5, '0.289', '0.675', '-0.024']","[6, '0.249', '0.573', '-0.054']","[7, '0.218', '0.513', '-0.071']","[8, '0.193', '0.467', '-0.081']","[9, '0.309', '0.675', '-0.050']","[10, '0.306', '0.538', '-0.078']","[11, '0.301', '0.454', '-0.084']","[12, '0.294', '0.395', '-0.089']","[13, '0.339', '0.677', '-0.075']","[14, '0.393', '0.565', '-0.092']","[15, '0.429', '0.564', '-0.078']","[16, '0.449', '0.575', '-0.066']","[17, '0.377', '0.680', '-0.101']","[18, '0.411', '0.591', '-0.113']","[19, '0.437', '0.572', '-0.104']","[20, '0.455', '0.565', '-0.095']"
18,"[0, '0.422', '0.782', '0.000']","[1, '0.502', '0.720', '0.025']","[2, '0.543', '0.654', '0.021']","[3, '0.580', '0.603', '0.007']","[4, '0.608', '0.567', '-0.004']","[5, '0.460', '0.542', '0.014']","[6, '0.493', '0.445', '-0.008']","[7, '0.508', '0.377', '-0.023']","[8, '0.522', '0.317', '-0.034']","[9, '0.453', '0.547', '-0.017']","[10, '0.524', '0.449', '-0.048']","[11, '0.558', '0.371', '-0.069']","[12, '0.583', '0.311', '-0.083']","[13, '0.460', '0.565', '-0.048']","[14, '0.572', '0.569', '-0.076']","[15, '0.604', '0.633', '-0.078']","[16, '0.616', '0.686', '-0.073']","[17, '0.475', '0.595', '-0.078']","[18, '0.560', '0.590', '-0.098']","[19, '0.593', '0.624', '-0.098']","[20, '0.612', '0.660', '-0.095']"
19,"[0, '0.326', '0.667', '0.000']","[1, '0.280', '0.607', '0.026']","[2, '0.271', '0.538', '0.027']","[3, '0.301', '0.483', '0.022']","[4, '0.338', '0.460', '0.022']","[5, '0.249', '0.486', '0.004']","[6, '0.234', '0.378', '-0.003']","[7, '0.224', '0.310', '-0.003']","[8, '0.216', '0.258', '-0.004']","[9, '0.281', '0.466', '-0.016']","[10, '0.311', '0.353', '-0.023']","[11, '0.328', '0.275', '-0.021']","[12, '0.341', '0.217', '-0.022']","[13, '0.321', '0.465', '-0.033']","[14, '0.383', '0.443', '-0.029']","[15, '0.385', '0.488', '-0.015']","[16, '0.377', '0.519', '-0.005']","[17, '0.366', '0.476', '-0.052']","[18, '0.416', '0.468', '-0.045']","[19, '0.415', '0.505', '-0.036']","[20, '0.407', '0.533', '-0.028']"
